id,texte,categorie,priorite,texte_nettoye
1,Impossible d'accéder à mon compte ENT depuis ce matin,Compte bloqué,Élevé,impossible dacceder compte ent depuis matin
2,Je n'arrive pas à me connecter à la plateforme,Compte bloqué,Élevé,narrive connecter plateforme
3,Mot de passe expiré et impossible de le réinitialiser,Compte bloqué,Élevé,mot passe expire impossible reinitialiser
4,Mon compte a été désactivé sans raison,Compte bloqué,Critique,compte a desactive sans raison
5,Erreur lors de la connexion au portail étudiant,Compte bloqué,Moyen,erreur lors connexion portail etudiant
6,Impossible de recevoir les notifications sur mon compte,Compte bloqué,Faible,impossible recevoir notifications compte
7,Compte bloqué après plusieurs tentatives de connexion,Compte bloqué,Élevé,compte bloque apres plusieurs tentatives connexion
8,Impossible de modifier mon profil utilisateur,Compte bloqué,Moyen,impossible modifier profil utilisateur
9,Accès refusé à certaines ressources du compte,Compte bloqué,Moyen,acces refuse certaines ressources compte
10,Impossible d'ajouter un document sur mon compte,Compte bloqué,Faible,impossible dajouter document compte
11,Le vidéoprojecteur de la salle B12 ne fonctionne plus,Salle / Équipement,Moyen,videoprojecteur salle b fonctionne plus
12,Le tableau interactif de la salle A5 est éteint,Salle / Équipement,Faible,tableau interactif salle a eteint
13,La salle C3 est trop froide,Salle / Équipement,Faible,salle trop froide
14,Le système de son de l'amphithéâtre ne marche pas,Salle / Équipement,Élevé,systeme lamphitheatre marche
15,Climatisation défectueuse dans la salle D1,Salle / Équipement,Moyen,climatisation defectueuse salle
16,Le projecteur ne s'allume pas dans la salle E2,Salle / Équipement,Moyen,projecteur sallume salle e
17,Problème avec la lumière de la salle F3,Salle / Équipement,Faible,probleme lumiere salle f
18,Le rideau de la salle G4 est bloqué,Salle / Équipement,Faible,rideau salle g bloque
19,La porte de la salle H5 ne se ferme pas,Salle / Équipement,Élevé,porte salle h ferme
20,Problème d'écran interactif dans la salle I6,Salle / Équipement,Moyen,probleme decran interactif salle i
21,Mon ordinateur ne démarre plus depuis hier,Matériel informatique,Critique,ordinateur demarre plus depuis hier
22,L'imprimante du labo 3 ne fonctionne plus,Matériel informatique,Moyen,limprimante labo fonctionne plus
23,Le scanner de documents est en panne,Matériel informatique,Moyen,scanner documents panne
24,Problème avec le clavier de mon PC portable,Matériel informatique,Faible,probleme clavier pc portable
25,La souris sans fil ne répond pas,Matériel informatique,Faible,souris sans fil repond
26,L'ordinateur de la salle D2 affiche un écran bleu,Matériel informatique,Critique,lordinateur salle affiche ecran bleu
27,Problème de mise à jour Windows sur mon PC,Matériel informatique,Moyen,probleme mise jour windows pc
28,Mon disque dur externe n'est pas détecté,Matériel informatique,Élevé,disque dur externe nest detecte
29,L'ordinateur du bureau E3 est très lent,Matériel informatique,Moyen,lordinateur bureau e tres lent
